fund_code,transaction_date,apply_amt,redeem_amt,uv_key_page_1,uv_key_page_2,uv_key_page_3,date
001480,2024-04-09,3577.587586,3415.664327,10493.112962,2401.0,24350.370741,2024-04-09
050027,2024-04-09,60175.819335,10190.313141,18048.341956,5601.111018,14345.255431,2024-04-09
100050,2024-04-09,5290.454229,2323.867006,3518.566365,2574.074437,3698.705064,2024-04-09
160717,2024-04-09,1444.820976,1708.157486,3436.620917,2401.0,3409.776718,2024-04-09
161024,2024-04-09,4825.702139,6143.668055,14158.758894,2401.0,30146.598314,2024-04-09
161028,2024-04-09,34412.220114,43296.046189,79046.837811,2401.0,148191.135025,2024-04-09
164402,2024-04-09,6061.314496,4908.194091,20133.005889,2401.0,54201.825776,2024-04-09
164906,2024-04-09,6801.161141,22104.085926,55183.051869,2401.0,65019.3313,2024-04-09
166016,2024-04-09,14250.749585,1513.015572,2515.441056,2417.247804,2721.717528,2024-04-09
168204,2024-04-09,6756.615825,8105.171567,17697.248098,2401.0,54656.764296,2024-04-09
530028,2024-04-09,71282.343365,36772.552424,17335.557846,5910.525726,11500.476828,2024-04-09
000086,2024-04-10,12451.826513,1349.977361,10868.931739,5884.387954,8577.284908,2024-04-10
000192,2024-04-10,33753.705711,2865.738947,4622.004204,2682.157657,5141.933941,2024-04-10
000385,2024-04-10,10876.434861,3121.391736,2664.497,2427.844198,2942.828952,2024-04-10
000402,2024-04-10,5256.7176,1644.56998,3654.906635,2591.735094,3799.017595,2024-04-10
000965,2024-04-10,1582.335308,1746.692702,2610.102177,2401.0,2985.920954,2024-04-10
001016,2024-04-10,2266.561999,2529.773716,5684.469319,2401.0,6376.767067,2024-04-10
001316,2024-04-10,13470.415095,6128.269076,9447.602077,3380.813241,8836.543351,2024-04-10
001338,2024-04-10,7823.449722,7119.265568,7263.33204,3391.409635,8005.786053,2024-04-10
001407,2024-04-10,1360.923141,1402.762249,2421.486362,2401.706426,2435.614887,2024-04-10
001480,2024-04-10,5634.836657,8313.696107,9662.355664,2401.0,22282.661038,2024-04-10
050027,2024-04-10,53587.546329,12115.974533,17322.842173,5385.651005,13943.298881,2024-04-10
100050,2024-04-10,4788.833337,3253.611561,3503.731413,2564.890895,3683.870112,2024-04-10
160717,2024-04-10,1601.383566,3139.578909,3462.758689,2401.0,3399.886751,2024-04-10
161024,2024-04-10,7716.4603,5236.458803,13325.175892,2401.0,27871.905714,2024-04-10
161028,2024-04-10,40836.848989,25487.103087,76830.072165,2401.0,135498.774171,2024-04-10
164402,2024-04-10,9832.865895,7384.134379,18788.67669,2401.0,49995.057318,2024-04-10
164906,2024-04-10,7890.4418,83628.218711,53942.567333,2401.0,62375.177759,2024-04-10
166016,2024-04-10,11964.992611,1350.526709,2535.927418,2423.605641,2716.772544,2024-04-10
168204,2024-04-10,16849.9787,23889.537832,17263.502366,2401.0,53752.538666,2024-04-10
530028,2024-04-10,69588.423542,24035.169001,15616.822723,5488.082815,11073.795358,2024-04-10
000086,2024-04-11,8479.123099,1349.977361,10417.525351,5585.56964,8387.962667,2024-04-11
000192,2024-04-11,13615.332133,3162.639447,4537.939477,2658.139164,5022.547901,2024-04-11
000385,2024-04-11,3280.653328,6538.343038,2646.836343,2428.550625,2973.205281,2024-04-11
000402,2024-04-11,4303.354761,1837.952496,3543.99771,2576.900142,3781.356938,2024-04-11
000965,2024-04-11,1510.801327,1864.588023,2586.083684,2401.0,2979.563118,2024-04-11
001016,2024-04-11,2103.13234,4654.915615,5490.202094,2401.0,6205.105482,2024-04-11
001316,2024-04-11,10019.249072,10098.542418,9116.994581,3296.748515,8822.414825,2024-04-11
001338,2024-04-11,8596.478012,7076.48366,7109.331112,3288.977826,7914.657064,2024-04-11
001407,2024-04-11,1350.43795,1381.087707,2419.367083,2401.706426,2436.321314,2024-04-11
001480,2024-04-11,2903.370323,4794.432916,9263.22482,2401.0,22068.613878,2024-04-11
050027,2024-04-11,38014.673403,12678.069615,16593.810259,5036.676426,13497.543903,2024-04-11
100050,2024-04-11,4666.919722,6460.660889,3501.612134,2562.771617,3706.475753,2024-04-11
160717,2024-04-11,1768.077506,1498.170872,3406.951013,2401.0,3406.244587,2024-04-11
161024,2024-04-11,6193.142603,4860.035909,12596.850404,2401.0,27626.775797,2024-04-11
161028,2024-04-11,25044.239198,22050.50243,67312.390984,2401.0,131038.39868,2024-04-11
164402,2024-04-11,6398.096272,6853.562331,17638.614717,2401.0,49172.777135,2024-04-11
164906,2024-04-11,9530.186891,31441.15921,53544.849341,2401.0,61939.312748,2024-04-11
166016,2024-04-11,10143.193399,1500.870958,2550.055944,2424.312067,2766.92881,2024-04-11
168204,2024-04-11,32051.905089,22580.497223,17394.191227,2401.0,52542.430459,2024-04-11
530028,2024-04-11,43251.895408,29294.149755,14605.926725,5014.070785,10816.656195,2024-04-11
000086,2024-04-12,6827.892633,1349.977361,10307.322852,5596.872461,8289.769415,2024-04-12
000192,2024-04-12,21412.264272,4149.418399,4495.553901,2689.928346,5017.602917,2024-04-12
000385,2024-04-12,3661.524111,3495.575731,2627.762834,2422.899214,2897.61767,2024-04-12
000402,2024-04-12,5406.728545,2844.650818,3544.704137,2567.010174,3742.503493,2024-04-12
000965,2024-04-12,1515.039024,1591.006045,2579.725847,2401.0,2937.883968,2024-04-12
001016,2024-04-12,2949.473408,3338.886397,5269.797096,2401.0,5834.938115,2024-04-12
001316,2024-04-12,8291.288577,7574.7494,9049.177659,3413.30885,8501.697297,2024-04-12
001338,2024-04-12,7665.027379,8187.36587,7121.340359,3381.519667,7808.693123,2024-04-12
001407,2024-04-12,1350.085735,1350.814117,2423.605641,2401.0,2432.789182,2024-04-12
001480,2024-04-12,3344.035791,7357.883201,9054.122643,2401.0,21208.893103,2024-04-12
050027,2024-04-12,38877.090733,8689.058236,16317.597586,5262.026407,13279.258184,2024-04-12
100050,2024-04-12,5665.547265,2511.121185,3488.190035,2579.019421,3665.503029,2024-04-12
160717,2024-04-12,1513.078537,1467.689908,3347.611206,2401.0,3313.702745,2024-04-12
161024,2024-04-12,5401.234684,5443.357027,11778.808779,2401.0,25919.343494,2024-04-12
161028,2024-04-12,45125.51888,32418.330855,62418.976188,2401.0,122002.500217,2024-04-12
164402,2024-04-12,9758.69409,7578.87959,16466.65353,2401.0,46499.660117,2024-04-12
164906,2024-04-12,7802.826951,27160.647176,50287.517795,2401.0,57674.617336,2024-04-12
166016,2024-04-12,17968.96523,1408.19775,2591.028668,2428.550625,2919.516885,2024-04-12
168204,2024-04-12,17466.448789,17897.806279,17064.290157,2401.0,49218.694843,2024-04-12
530028,2024-04-12,27955.152009,31675.991932,14242.823621,5044.447115,10434.479581,2024-04-12
000086,2024-04-13,6379.669863,1349.977361,8069.364418,4838.170643,4908.813271,2024-04-13
000192,2024-04-13,7372.611398,2646.568498,3743.916346,2612.221456,3338.427665,2024-04-13
000385,2024-04-13,2865.680642,2263.678382,2572.661584,2422.899214,2588.202962,2024-04-13
000402,2024-04-13,2341.749702,1588.542215,3144.16044,2535.220992,2959.076756,2024-04-13
000965,2024-04-13,1409.585696,1506.763581,2506.257515,2401.0,2552.175223,2024-04-13
001016,2024-04-13,1590.576234,2546.472913,4032.844692,2401.0,3346.90478,2024-04-13
001316,2024-04-13,3145.53932,3205.779856,6575.979276,3023.361547,4557.012986,2024-04-13
001338,2024-04-13,2361.13999,3934.654006,5316.42123,2998.636627,4259.607525,2024-04-13
001407,2024-04-13,1350.140464,1349.977361,2411.596394,2403.119279,2415.128525,2024-04-13
001480,2024-04-13,1887.395073,2044.670982,5847.653788,2401.0,7490.8013,2024-04-13
050027,2024-04-13,44689.732955,4458.973629,12994.568396,4748.454506,7524.003335,2024-04-13
100050,2024-04-13,1887.783649,1932.109128,3006.407316,2487.184005,2947.067509,2024-04-13
160717,2024-04-13,1353.011834,1453.467005,2876.424882,2401.0,2651.781327,2024-04-13
161024,2024-04-13,1478.583019,2914.100656,7265.451319,2401.0,8580.110613,2024-04-13
161028,2024-04-13,2747.280894,5724.588209,33937.988123,2401.0,34744.726927,2024-04-13
164402,2024-04-13,1553.280709,2162.056131,9456.079192,2401.0,13792.123659,2024-04-13
164906,2024-04-13,1463.36031,6457.054417,26309.997223,2401.0,17981.937886,2024-04-13
166016,2024-04-13,3436.395527,1405.158182,2507.670367,2421.486362,2696.992609,2024-04-13
168204,2024-04-13,4098.685845,3774.989913,11033.529061,2401.0,17453.531034,2024-04-13
530028,2024-04-13,17581.417414,18721.999536,11426.302069,4718.078177,5669.634367,2024-04-13
000086,2024-04-14,4967.767639,1349.977361,5403.311662,3781.356938,3777.118381,2024-04-14
000192,2024-04-14,3588.848031,2254.790788,3023.361547,2511.202499,2866.534914,2024-04-14
000385,2024-04-14,2093.323458,2099.419228,2478.000464,2409.477115,2497.073973,2024-04-14
000402,2024-04-14,2071.760217,3042.853107,2802.250123,2475.174759,2721.011102,2024-04-14
000965,2024-04-14,1381.428923,1479.725282,2453.981971,2401.0,2476.587611,2024-04-14
001016,2024-04-14,1528.406152,2366.828056,3410.483145,2401.0,2905.388359,2024-04-14
001316,2024-04-14,4286.216215,3087.320502,4494.141048,2796.598713,3535.520595,2024-04-14
001338,2024-04-14,2806.707107,2265.057333,4054.03748,2759.864547,3440.153048,2024-04-14
001407,2024-04-14,1351.061101,1349.977361,2411.596394,2401.706426,2411.596394,2024-04-14
001480,2024-04-14,1463.001267,1496.05346,3832.21963,2401.0,4643.196992,2024-04-14
050027,2024-04-14,27768.102278,6474.764039,7529.654745,3624.530306,5324.191919,2024-04-14
100050,2024-04-14,1648.656278,1395.912249,2777.525204,2445.504855,2684.983362,2024-04-14
160717,2024-04-14,1349.977361,1350.413729,2657.432737,2401.0,2540.165976,2024-04-14
161024,2024-04-14,1616.706575,1779.205517,4736.44526,2401.0,5671.04722,2024-04-14
161028,2024-04-14,1927.811067,5283.89218,18209.407146,2401.0,19079.017889,2024-04-14
164402,2024-04-14,1627.353135,2300.890621,5667.515088,2401.0,8118.107831,2024-04-14
164906,2024-04-14,1827.935969,3417.811543,14956.314157,2401.0,10113.762053,2024-04-14
166016,2024-04-14,2912.640424,1355.728772,2479.413316,2413.715673,2607.276472,2024-04-14
168204,2024-04-14,2626.204199,2538.501188,6795.677847,2401.0,10370.901216,2024-04-14
530028,2024-04-14,13031.598597,11859.356076,6928.485986,3719.897852,4198.14844,2024-04-14
000086,2024-04-15,12282.823339,1349.977361,9601.603005,5257.081423,8652.87252,2024-04-15
000192,2024-04-15,20316.054013,8551.753716,4476.480391,2660.964869,5389.183136,2024-04-15
000385,2024-04-15,4170.541533,2921.684456,2639.77208,2424.312067,2998.636627,2024-04-15
000402,2024-04-15,6199.038802,2045.376497,3557.41981,2558.533059,3923.348619,2024-04-15
000965,2024-04-15,1562.151722,1763.543352,2597.386504,2401.0,3134.976898,2024-04-15
001016,2024-04-15,5415.705927,3148.088061,5724.735616,2401.0,6949.678774,2024-04-15
001316,2024-04-15,15257.805,10376.421156,9145.958058,3296.042088,10023.33949,2024-04-15
001338,2024-04-15,6199.62283,7534.707514,6872.678311,3209.151657,8527.128643,2024-04-15
001407,2024-04-15,1352.740899,1364.466973,2420.779936,2401.706426,2449.036987,2024-04-15
001480,2024-04-15,4321.481406,4231.519934,9894.063482,2401.0,25794.306044,2024-04-15
050027,2024-04-15,80997.554995,25341.534124,18294.884725,5894.984348,14638.422334,2024-04-15
100050,2024-04-15,3240.614856,7969.245837,3442.272327,2535.927418,3755.925592,2024-04-15
160717,2024-04-15,1557.199461,1350.635733,3418.96026,2401.0,3512.208528,2024-04-15
161024,2024-04-15,6507.016052,5326.94616,12887.191602,2401.0,32596.48463,2024-04-15
161028,2024-04-15,18639.36247,23913.365549,68911.740067,2401.0,149648.492427,2024-04-15
164402,2024-04-15,12379.573362,6696.023995,18170.553701,2401.0,58722.247499,2024-04-15
164906,2024-04-15,10428.607873,23426.786976,52117.868269,2401.0,71242.240343,2024-04-15
166016,2024-04-15,20410.589521,4244.986712,2675.093394,2446.211281,3128.619062,2024-04-15
168204,2024-04-15,19037.338961,16864.659917,16524.580484,2401.0,57019.053754,2024-04-15
530028,2024-04-15,51088.511745,29579.069393,13328.708023,5030.31859,11225.677007,2024-04-15
000086,2024-04-16,9401.060224,1378.361395,11142.318707,5859.663035,8922.02093,2024-04-16
000192,2024-04-16,22574.21375,3886.41541,4845.234906,2725.956086,5473.247863,2024-04-16
000385,2024-04-16,4797.184317,5452.044671,2706.882576,2436.321314,3002.875185,2024-04-16
000402,2024-04-16,5677.00235,2561.442297,3689.521523,2595.973651,3929.706456,2024-04-16
000965,2024-04-16,1513.653462,1688.413033,2615.047161,2401.0,3048.086466,2024-04-16
001016,2024-04-16,5745.694924,2667.714716,6441.051858,2401.0,6665.695412,2024-04-16
001316,2024-04-16,16935.753519,11487.946783,10650.646021,3586.383287,9824.833707,2024-04-16
001338,2024-04-16,10974.62962,8524.347325,7887.812865,3550.355547,8580.110613,2024-04-16
001407,2024-04-16,1350.031548,1355.338517,2420.073509,2401.706426,2437.734166,2024-04-16
001480,2024-04-16,4335.931137,6438.794634,10458.498074,2401.0,23944.88206,2024-04-16
050027,2024-04-16,93663.750585,10045.072985,19435.763157,6130.224297,14948.543468,2024-04-16
100050,2024-04-16,3008.694036,3054.58357,3564.484072,2555.707354,3763.696281,2024-04-16
160717,2024-04-16,1660.366692,1637.330376,3507.263544,2401.0,3425.318096,2024-04-16
161024,2024-04-16,11239.069161,16157.61149,14748.624833,2401.0,30833.951078,2024-04-16
161028,2024-04-16,46436.838216,37985.811222,79466.455017,2401.0,145145.024934,2024-04-16
164402,2024-04-16,9674.333444,7339.854904,20939.744693,2401.0,54614.378719,2024-04-16
164906,2024-04-16,12315.400365,23634.554144,58457.337647,2401.0,67889.541249,2024-04-16
166016,2024-04-16,6692.201858,7422.954673,2749.268153,2456.807676,3150.518276,2024-04-16
168204,2024-04-16,26216.199783,29421.257359,19702.792288,2401.0,57233.100915,2024-04-16
530028,2024-04-16,67466.298019,28778.868528,16590.984554,5595.459608,11522.376042,2024-04-16
000086,2024-04-17,8553.431347,1402.911967,11114.768082,5769.946898,8919.901651,2024-04-17
000192,2024-04-17,21147.45084,4750.390347,4887.620482,2727.368938,5572.147541,2024-04-17
000385,2024-04-17,3111.243535,3803.869054,2697.699035,2429.963477,3042.435056,2024-04-17
000402,2024-04-17,6894.58446,8284.696779,3736.145657,2598.09293,3999.642657,2024-04-17
000965,2024-04-17,1590.503732,2032.871647,2641.891359,2401.0,3141.334735,2024-04-17
001016,2024-04-17,2765.370422,3452.539523,6585.869244,2401.0,7008.312155,2024-04-17
001316,2024-04-17,10734.326987,8125.316897,10847.032525,3469.822952,10299.552163,2024-04-17
001338,2024-04-17,10517.199226,15325.458917,7912.537785,3437.327343,9060.480479,2024-04-17
001407,2024-04-17,1349.977361,1350.52362,2426.431346,2402.412853,2438.440592,2024-04-17
001480,2024-04-17,3267.569219,7136.99486,11211.548482,2401.0,26480.952381,2024-04-17
050027,2024-04-17,84504.826325,19537.360361,19078.311462,6022.847504,15245.242503,2024-04-17
100050,2024-04-17,3605.138766,4144.645876,3552.474826,2551.468796,3777.824807,2024-04-17
160717,2024-04-17,1991.731336,1852.452729,3589.208992,2401.0,3518.566365,2024-04-17
161024,2024-04-17,3225.471423,5840.409791,15096.892985,2401.0,33133.368598,2024-04-17
161028,2024-04-17,13154.307514,29232.59345,81641.541513,2401.0,153286.587735,2024-04-17
164402,2024-04-17,5541.358771,7551.171322,21562.10624,2401.0,58713.063958,2024-04-17
164906,2024-04-17,13574.11661,18970.760168,59889.970129,2401.0,72314.595426,2024-04-17
166016,2024-04-17,11340.082783,4425.662043,2791.653729,2452.569118,3209.151657,2024-04-17
168204,2024-04-17,13884.00444,22057.116607,19782.618457,2401.0,58229.868387,2024-04-17
530028,2024-04-17,47463.225395,38382.337234,16225.055744,5308.650541,11718.05612,2024-04-17
000086,2024-04-18,14353.792186,1349.977361,11061.079686,5861.075887,8826.653383,2024-04-18
000192,2024-04-18,19137.540482,4073.132812,4899.629729,2723.130381,5416.733761,2024-04-18
000385,2024-04-18,6916.780119,5741.833177,2712.533987,2434.202035,3005.70089,2024-04-18
000402,2024-04-18,4351.782253,4946.809233,3714.952869,2599.505783,3923.348619,2024-04-18
000965,2024-04-18,1788.311485,1686.269827,2646.836343,2401.0,3070.692107,2024-04-18
001016,2024-04-18,2879.696009,5053.100509,6747.64086,2401.0,6638.144788,2024-04-18
001316,2024-04-18,14850.063356,13991.525383,10926.858694,3647.135946,9822.008002,2024-04-18
001338,2024-04-18,16927.411968,14181.711243,8012.850316,3528.456332,8799.809184,2024-04-18
001407,2024-04-18,1350.43795,1350.372493,2427.844198,2401.706426,2435.614887,2024-04-18
001480,2024-04-18,3378.275005,7219.91424,10970.657123,2401.0,24065.680953,2024-04-18
050027,2024-04-18,123614.611323,14268.786064,19662.52599,6504.630222,14938.6535,2024-04-18
100050,2024-04-18,2730.36625,3255.313251,3505.144265,2558.533059,3700.824343,2024-04-18
160717,2024-04-18,1583.809032,1800.620882,3559.539088,2401.0,3462.758689,2024-04-18
161024,2024-04-18,3527.550794,7128.538215,15064.397377,2401.0,30157.194708,2024-04-18
161028,2024-04-18,11095.024154,40326.28534,79253.114283,2401.0,141883.45483,2024-04-18
164402,2024-04-18,4731.074567,11783.800443,21149.553296,2401.0,53109.690757,2024-04-18
164906,2024-04-18,13032.70786,15318.050683,60087.769486,2401.0,65614.848649,2024-04-18
166016,2024-04-18,15864.212123,2935.607868,2819.91078,2467.40407,3294.629236,2024-04-18
168204,2024-04-18,16901.088287,20904.488437,19574.222706,2401.0,54728.113349,2024-04-18
530028,2024-04-18,55024.590035,28577.731036,15806.85139,5230.237225,11131.015887,2024-04-18
000086,2024-04-19,12993.582764,1349.977361,10420.351056,5840.589525,8407.036176,2024-04-19
000192,2024-04-19,15203.044398,5238.729727,4670.04119,2718.185397,5178.668107,2024-04-19
000385,2024-04-19,3565.487405,3340.509245,2664.497,2429.963477,2912.452622,2024-04-19
000402,2024-04-19,4085.798489,5165.274763,3579.319024,2588.909389,3784.88907,2024-04-19
000965,2024-04-19,15192.989615,1580.057068,2581.845126,2401.0,2948.480362,2024-04-19
001016,2024-04-19,2007.83014,1963.054366,5944.434187,2401.0,6025.673209,2024-04-19
001316,2024-04-19,16704.425072,6756.064309,9329.628889,3446.510885,8823.827678,2024-04-19
001338,2024-04-19,33338.796206,8537.268006,7776.197514,3546.116989,8731.285836,2024-04-19
001407,2024-04-19,1349.977361,1349.977361,2418.660657,2401.0,2427.844198,2024-04-19
001480,2024-04-19,5204.979497,3575.661075,9061.186906,2401.0,20908.661937,2024-04-19
050027,2024-04-19,91123.053814,10285.443839,17994.653559,5991.764748,14006.877246,2024-04-19
100050,2024-04-19,3518.276412,2632.784997,3412.602424,2550.055944,3574.37404,2024-04-19
160717,2024-04-19,1594.667951,1463.67091,3296.042088,2401.0,3311.583466,2024-04-19
161024,2024-04-19,5076.484652,7069.812749,12293.793533,2401.0,26870.899684,2024-04-19
161028,2024-04-19,31625.64649,24819.966281,61817.807429,2401.0,121310.908896,2024-04-19
164402,2024-04-19,6037.184144,14648.370067,16948.436248,2401.0,48004.348079,2024-04-19
164906,2024-04-19,11529.138247,13149.916089,45856.812208,2401.0,56542.922446,2024-04-19
166016,2024-04-19,12710.045979,7685.635411,2848.874257,2468.816922,3307.344909,2024-04-19
168204,2024-04-19,12994.633451,17081.255344,17267.034497,2401.0,49606.522867,2024-04-19
530028,2024-04-19,37114.767045,25687.536202,14177.125978,5092.484102,10245.863766,2024-04-19
000086,2024-04-20,7706.688699,1349.977361,7653.279343,4826.867823,4795.785067,2024-04-20
000192,2024-04-20,7754.491739,1976.405563,3736.145657,2621.404997,3300.987072,2024-04-20
000385,2024-04-20,2994.183345,2219.6583,2561.358764,2425.018493,2589.615815,2024-04-20
000402,2024-04-20,3568.677667,1575.306274,3160.408244,2527.450303,2968.260298,2024-04-20
000965,2024-04-20,1377.071581,1628.323299,2478.000464,2401.0,2533.808139,2024-04-20
001016,2024-04-20,1519.168347,1706.015581,4525.223804,2401.0,3378.693962,2024-04-20
001316,2024-04-20,6512.275608,3128.973532,6619.071278,3080.582075,4645.316271,2024-04-20
001338,2024-04-20,6644.730334,2579.627845,5561.551147,3047.38004,4669.334764,2024-04-20
001407,2024-04-20,1349.977361,1355.80355,2412.30282,2401.706426,2415.834952,2024-04-20
001480,2024-04-20,1380.166853,1620.00727,5413.20163,2401.0,6893.871099,2024-04-20
050027,2024-04-20,36523.365123,6169.860766,12930.990031,4866.427694,7528.948319,2024-04-20
100050,2024-04-20,1486.074105,2153.942003,2976.030987,2478.000464,2903.975507,2024-04-20
160717,2024-04-20,1351.061101,1350.177961,2884.901997,2401.0,2668.029131,2024-04-20
161024,2024-04-20,3405.475215,1859.118709,7396.846605,2401.0,8501.697297,2024-04-20
161028,2024-04-20,2609.20822,5011.742203,31313.614518,2401.0,31541.790204,2024-04-20
164402,2024-04-20,1834.425191,1921.190658,9603.015857,2401.0,13467.167573,2024-04-20
164906,2024-04-20,1766.180472,4064.647773,24792.593588,2401.0,17530.531497,2024-04-20
166016,2024-04-20,1654.212671,2197.606075,2629.175686,2434.908461,2834.745732,2024-04-20
168204,2024-04-20,4272.208976,3341.064933,11078.740342,2401.0,16514.690516,2024-04-20
530028,2024-04-20,16535.479282,15088.530836,10456.378796,4375.461434,5479.605699,2024-04-20
000086,2024-04-21,4703.165753,1349.977361,5293.109163,3810.320415,3697.998638,2024-04-21
000192,2024-04-21,4981.383377,1939.565155,3037.490072,2501.312531,2856.644946,2024-04-21
000385,2024-04-21,2830.010511,2134.933355,2478.000464,2412.30282,2512.615351,2024-04-21
000402,2024-04-21,2337.319262,4173.038851,2773.286646,2464.578365,2704.056871,2024-04-21
000965,2024-04-21,1445.424349,1460.441092,2453.981971,2401.0,2477.294038,2024-04-21
001016,2024-04-21,1513.287699,1674.320665,3758.751297,2401.0,2976.030987,2024-04-21
001316,2024-04-21,4678.723121,5389.271651,4606.462826,2816.378649,3618.878895,2024-04-21
001338,2024-04-21,7348.572351,3794.381392,4244.772574,2810.020812,3715.659295,2024-04-21
001407,2024-04-21,1349.977361,1814.351659,2410.889968,2402.412853,2407.357836,2024-04-21
001480,2024-04-21,1397.287354,1827.076888,3717.072147,2401.0,4388.883533,2024-04-21
050027,2024-04-21,27390.570879,7785.213781,7985.299691,3845.641729,5405.430941,2024-04-21
100050,2024-04-21,1980.226724,1370.336512,2735.139627,2442.67915,2713.946839,2024-04-21
160717,2024-04-21,1358.647286,1363.530729,2668.029131,2401.0,2545.11096,2024-04-21
161024,2024-04-21,4415.398586,1576.881816,4826.161397,2401.0,5457.706485,2024-04-21
161028,2024-04-21,1706.864692,6092.713443,17113.739996,2401.0,17241.603152,2024-04-21
164402,2024-04-21,1616.614674,2129.653045,5682.35004,2401.0,7820.70237,2024-04-21
164906,2024-04-21,1702.015766,4806.746269,13693.930407,2401.0,9713.924782,2024-04-21
166016,2024-04-21,2033.380409,2359.988678,2546.523812,2420.779936,2668.029131,2024-04-21
168204,2024-04-21,3383.39996,2298.739071,6947.559496,2401.0,9832.604396,2024-04-21
530028,2024-04-21,11654.896377,9951.82469,6756.117975,3761.577003,4136.689354,2024-04-21
000086,2024-04-22,10246.640615,1349.977361,9121.233139,5091.777675,8040.400941,2024-04-22
000192,2024-04-22,28693.695131,9566.323247,4299.167397,2656.019885,5175.842402,2024-04-22
000385,2024-04-22,3456.347463,3065.148199,2595.267225,2429.257051,2914.571901,2024-04-22
000402,2024-04-22,6823.433853,3251.592444,3402.712456,2554.294501,3765.109134,2024-04-22
000965,2024-04-22,2243.734791,1739.908594,2554.294501,2401.0,2984.508102,2024-04-22
001016,2024-04-22,2663.613463,4048.307295,5517.752718,2401.0,6165.545611,2024-04-22
001316,2024-04-22,17288.2038,6420.380309,8036.162383,3224.693035,8893.763879,2024-04-22
001338,2024-04-22,42066.64968,12574.498745,7302.185485,3388.58393,9273.821214,2024-04-22
001407,2024-04-22,1349.977361,1349.977361,2418.660657,2401.0,2431.37633,2024-04-22
001480,2024-04-22,5973.349599,5474.067419,7957.04264,2401.0,21504.179285,2024-04-22
050027,2024-04-22,87081.452132,14685.929537,15329.307229,5202.6866,13721.481031,2024-04-22
100050,2024-04-22,4087.046471,6030.738163,3272.730021,2509.789646,3556.006957,2024-04-22
160717,2024-04-22,1475.490836,2464.878406,3241.647265,2401.0,3311.583466,2024-04-22
161024,2024-04-22,8693.213622,9420.512014,11085.804605,2401.0,27720.730491,2024-04-22
161028,2024-04-22,27238.287114,26117.365835,53695.318138,2401.0,123149.030059,2024-04-22
164402,2024-04-22,10380.842005,12517.296097,15283.389522,2401.0,49027.253323,2024-04-22
164906,2024-04-22,8297.691642,17138.745455,40422.981313,2401.0,57709.232223,2024-04-22
166016,2024-04-22,8585.669109,4606.178173,2891.259834,2474.468332,3339.840517,2024-04-22
